Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Centro ocupacional y residencia Fundación ALAS Madrid,Instalaciones accesibles NO municipales,Calle Encomienda De Palacios 235,Bicipark Recuerdo,"Calle Hiedra, 26",9606.96
Tanatorio Parque de San Isidro de Madrid,Instalaciones accesibles NO municipales,Calle Comuneros De Castilla 15,Bicipark Recuerdo,"Calle Hiedra, 26",9608.09
Museo ABC,Instalaciones accesibles NO municipales,Calle Amaniel 29 -31,Bicipark Aviación,Parking Aviación Española,9609.41
Oficina de Tramitación del DNI y Pasaporte (Centro),Instalaciones accesibles NO municipales,Calle Luna 17,Bicipark Aviación,Parking Aviación Española,9619.12
Oficina de Empleo Atocha,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 7,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9623.27
Museo Postal y Telegráfico,Instalaciones accesibles NO municipales,Calle Tapia De Casariego 6,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",9627.63
Biblioteca Pública María Moliner (Villaverde),Instalaciones accesibles NO municipales,Calle Villalonso 16,Bicipark Salamanca,Pl. del Marqués de Salamanca,9633.2
Sede QuedaT.com San Blas-Canillejas,Instalaciones accesibles NO municipales,Calle San Faustino 14,Bicipark Montalban,"Calle de Montalbán, 5",9635.82
Comisaría de Policía (Carabanchel),Instalaciones accesibles NO municipales,Calle Padre Amigo 3,Bicipark Orense,"Avenida General Perón, 27",9635.91
Colegio Mayor Marqués de la Ensenada,Instalaciones accesibles NO municipales,Avenida Seneca 18,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9648.26
Centro de Educación de Personas Adultas (CEPA) Hortaleza - Mar Amarillo,Instalaciones accesibles NO municipales,Calle Mar Amarillo 21,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9648.41
Instituto de Educación Secundaria (IES) Antonio Domínguez Ortiz,Instalaciones accesibles NO municipales,Calle Andaluces 36,Bicipark Orense,"Avenida General Perón, 27",9648.45
Instituto de Educación Secundaria (IES) Manuel Fraga Iribarne,Instalaciones accesibles NO municipales,Avenida Niceto Alcala Zamora 54,Bicipark Recoletos,"Paseo de Recoletos, 2",9651.73
Sede QuedaT.com Centro,Instalaciones accesibles NO municipales,Calle Juanelo 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9662.79
Instituto de Educación Secundaria (IES) Avenida de los Toreros,Instalaciones accesibles NO municipales,Avenida Toreros 57,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9663.28
Oficina de Empleo Villaverde,Instalaciones accesibles NO municipales,Calle Salsipuedes 7,Bicipark Almagro,"Calle Almagro, 11",9663.79
Parque Deportivo Puerta de Hierro,Instalaciones accesibles NO municipales,Carretera De La Coruña  Kilómetro 7,Bicipark Aviación,Parking Aviación Española,9667.57
Capilla de San Isidro,Instalaciones accesibles NO municipales,Calle Aguila 1,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9672.14
La Casa Encendida de la Fundación Montemadrid,Instalaciones accesibles NO municipales,Ronda Valencia 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9672.54
Oficina de Correos. Sucursal 52. Calle Monte Olivetti,Instalaciones accesibles NO municipales,Calle Monte Oliveti 29,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9683.25
Oficina de Empleo Villaverde,Instalaciones accesibles NO municipales,Calle Salsipuedes 7,Bicipark Aviación,Parking Aviación Española,9684.25
Jardines del Campo del Moro,Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto En Las Proximidades De La Glorieta De San Vicente,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9684.33
Oficina de Tramitación del DNI y Pasaporte (Arganzuela),Instalaciones accesibles NO municipales,Paseo Virgen Del Puerto 47,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9684.47
Instituto de Educación Secundaria (IES) María Rodrigo,Instalaciones accesibles NO municipales,"Calle Talamanca Del Jarama, Esquina Granja De San Ildefonso",Bicipark Salamanca,Pl. del Marqués de Salamanca,9687.75
"Residencia, centro de día y centro ocupacional Götze",Instalaciones accesibles NO municipales,Carretera Castilla 5,Bicipark Recuerdo,"Calle Hiedra, 26",9689.84
La Casa Encendida de la Fundación Montemadrid,Instalaciones accesibles NO municipales,Ronda Valencia 2,Bicipark Aviación,Parking Aviación Española,9690.65
Instituto de Educación Secundaria (IES) Juana de Castilla,Instalaciones accesibles NO municipales,Calle Valdebernardo 3,Bicipark Recuerdo,"Calle Hiedra, 26",9693.3
Oficina de Correos. Sucursal 45. Avenida Valladolid,Instalaciones accesibles NO municipales,Avenida Valladolid 39,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9699.01
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Hortaleza),Instalaciones accesibles NO municipales,Calle Javier Del Quinto,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9703.74
Colegio Ártica,Instalaciones accesibles NO municipales,Calle Morales 25,Bicipark Montalban,"Calle de Montalbán, 5",9706.87
Hipódromo de la Zarzuela,Instalaciones accesibles NO municipales,Avenida Padre Huidobro  S/N Carretera De La Coruña Km. 8,Bicipark Aviación,Parking Aviación Española,9707.74
Sede QuedaT.com San Blas-Canillejas,Instalaciones accesibles NO municipales,Calle San Faustino 14,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",9713.82
Sede QuedaT.com San Blas-Canillejas,Instalaciones accesibles NO municipales,Calle San Faustino 14,Bicipark Recoletos,"Paseo de Recoletos, 2",9713.98
Hipódromo de la Zarzuela,Instalaciones accesibles NO municipales,Avenida Padre Huidobro  S/N Carretera De La Coruña Km. 8,Bicipark Salamanca,Pl. del Marqués de Salamanca,9719.94
Biblioteca Pública Antonio Mingote (Latina),Instalaciones accesibles NO municipales,Calle Rafael Finat 51,Bicipark Recoletos,"Paseo de Recoletos, 2",9741.61
Intercambiador de transporte. Aeropuerto T4,Instalaciones accesibles NO municipales,Carretera M-110 250,Bicipark Recuerdo,"Calle Hiedra, 26",9742.47
Intercambiador de transporte. Puerta del Sol,Instalaciones accesibles NO municipales,Intercambiador Puerta Del Sol,Bicipark Aviación,Parking Aviación Española,9746.76
Oficina de Empleo San Isidro,Instalaciones accesibles NO municipales,Calle Tejares 4,Bicipark Recuerdo,"Calle Hiedra, 26",9747.92
Oficina de Correos. Sucursal 82. Avenida Santuario de Valverde,Instalaciones accesibles NO municipales,Avenida Santuario De Valverde 45,Bicipark Recoletos,"Paseo de Recoletos, 2",9750.16
Centro de Día Privado 'Florencia',Instalaciones accesibles NO municipales,Calle Florencia 24,Bicipark Recuerdo,"Calle Hiedra, 26",9750.52
Colegio Ártica,Instalaciones accesibles NO municipales,Calle Morales 25,Bicipark Recoletos,"Paseo de Recoletos, 2",9751.25
Instituto de Educación Secundaria (IES) Eijo y Garay,Instalaciones accesibles NO municipales,Calle Severino Aznar Embid 6,Bicipark Recuerdo,"Calle Hiedra, 26",9752.82
Instituto de Educación Secundaria (IES) Francisco Ayala,Instalaciones accesibles NO municipales,Calle Jacobeo 33,Bicipark Montalban,"Calle de Montalbán, 5",9762.18
Oficina de Correos. Sucursal 18. Calle Pizarro,Instalaciones accesibles NO municipales,Calle Pizarro 17,Bicipark Aviación,Parking Aviación Española,9764.44
Casa de México,Instalaciones accesibles NO municipales,Calle Alberto Aguilera 20,Bicipark Aviación,Parking Aviación Española,9764.81
Colegio Mayor Universitario San Pablo,Instalaciones accesibles NO municipales,Calle Isaac Peral 58,Bicipark Aviación,Parking Aviación Española,9766.83
Instituto de Educación Secundaria (IES) María Rodrigo,Instalaciones accesibles NO municipales,"Calle Talamanca Del Jarama, Esquina Granja De San Ildefonso",Bicipark Montalban,"Calle de Montalbán, 5",9770.86
Colegio Público Martínez Montañés,Instalaciones accesibles NO municipales,Calle Hacienda De Pavones 223,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9771.12
Biblioteca Pública Antonio Mingote (Latina),Instalaciones accesibles NO municipales,Calle Rafael Finat 51,Bicipark Montalban,"Calle de Montalbán, 5",9774.97
Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9779.44
Oficina de Correos. Sucursal 26. Calle Longares,Instalaciones accesibles NO municipales,Calle Longares 30,Bicipark Orense,"Avenida General Perón, 27",9780.01
Instituto de Educación Secundaria (IES) Francisco Ayala,Instalaciones accesibles NO municipales,Calle Jacobeo 33,Bicipark Recoletos,"Paseo de Recoletos, 2",9783.07
Instalación deportiva para mayores Concepción Arenal,Instalaciones accesibles NO municipales,Calle Javier Del Quinto 12 Está Ubicado Dentro Del Centro De Servicios Sociales “Concepción Arenal”,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9789.96
Oficina de Correos. Sucursal 49. Calle Condesa Vega del Pozo,Instalaciones accesibles NO municipales,Calle Condesa Vega Del Pozo 29 Y 31,Bicipark Recoletos,"Paseo de Recoletos, 2",9791.1
Colegio Mayor Padre Poveda,Instalaciones accesibles NO municipales,Calle Isaac Peral 60,Bicipark Aviación,Parking Aviación Española,9792.1
Residencia Universitaria Augustinus Nebrija,Instalaciones accesibles NO municipales,Calle Cea Bermudez 59,Bicipark Aviación,Parking Aviación Española,9794.07
Instituto de Educación Secundaria (IES) San Cristóbal de los Ángeles,Instalaciones accesibles NO municipales,Plaza Pinazo 7,Bicipark Almagro,"Calle Almagro, 11",9802.32
Biblioteca Pública Luis Martín Santos (Villa de Vallecas),Instalaciones accesibles NO municipales,Plaza Antonio Maria Segovia 2,Bicipark Recoletos,"Paseo de Recoletos, 2",9802.32
Sede QuedaT.com Vicálvaro,Instalaciones accesibles NO municipales,Plaza Juan Benet 9,Bicipark Orense,"Avenida General Perón, 27",9804.49
Colegio Público Nuestra Señora de la Paloma,Instalaciones accesibles NO municipales,Calle Tabernillas 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9806.81
Colegio Juan de Valdés,Instalaciones accesibles NO municipales,Avenida Canillejas A Vicalvaro 135,Bicipark Orense,"Avenida General Perón, 27",9806.9
Sede QuedaT.com Villaverde,Instalaciones accesibles NO municipales,Calle Albino Hernández Lázaro 36,Bicipark Almagro,"Calle Almagro, 11",9808.04
Oficina de Empleo Goya,Instalaciones accesibles NO municipales,Calle O'Donnell 12,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9808.05
Instituto de Educación Secundaria (IES) Santa Eugenia,Instalaciones accesibles NO municipales,Calle Cerro De Almodovar 5,Bicipark Salamanca,Pl. del Marqués de Salamanca,9808.46
Residencia de estudiantes Palacio de Barradas,Instalaciones accesibles NO municipales,Calle San Bernardo 63,Bicipark Aviación,Parking Aviación Española,9809.56
Instituto de Educación Secundaria (IES) Villa de Vallecas,Instalaciones accesibles NO municipales,Calle Villarino De Los Aires 14,Bicipark Almagro,"Calle Almagro, 11",9810.23
Instituto de Educación Secundaria (IES) Manuel Fraga Iribarne,Instalaciones accesibles NO municipales,Avenida Niceto Alcala Zamora 54,Bicipark Montalban,"Calle de Montalbán, 5",9812.78
Sede QuedaT.com Villaverde,Instalaciones accesibles NO municipales,Calle Albino Hernández Lázaro 36,Bicipark Salamanca,Pl. del Marqués de Salamanca,9817.43
Casón del Buen Retiro.,Instalaciones accesibles NO municipales,Calle Alfonso Xii 28,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9822.91
Instituto de Educación Secundaria (IES) Iturralde,Instalaciones accesibles NO municipales,Calle Nuestra Señora De La Luz 53,Bicipark Orense,"Avenida General Perón, 27",9827.4
Museo del Prado,Instalaciones accesibles NO municipales,Paseo Prado,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9828.05
Colegio Mayor Santa María del Pino,Instalaciones accesibles NO municipales,Paseo San Francisco De Sales 13,Bicipark Aviación,Parking Aviación Española,9836.62
Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Recoletos,"Paseo de Recoletos, 2",9853.89
Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Recoletos,"Paseo de Recoletos, 2",9853.89
Parque Biológico de Madrid. Faunia,Instalaciones accesibles NO municipales,Avenida Comunidades 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",9860.04
Instituto de Educación Secundaria (IES) García Morato,Instalaciones accesibles NO municipales,Calle General Saliquet 34,Bicipark Recoletos,"Paseo de Recoletos, 2",9865.44
Instituto de Educación Secundaria (IES) San Cristóbal de los Ángeles,Instalaciones accesibles NO municipales,Plaza Pinazo 7,Bicipark Salamanca,Pl. del Marqués de Salamanca,9875.66
Sede QuedaT.com Puente de Vallecas,Instalaciones accesibles NO municipales,Calle Cardeñosa 18,Bicipark Recuerdo,"Calle Hiedra, 26",9875.79
Instituto de Educación Secundaria (IES) Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Indalecio Prieto 1,Bicipark Orense,"Avenida General Perón, 27",9877.14
Instituto de Educación Secundaria (IES) Salvador Dalí,Instalaciones accesibles NO municipales,Calle Verdaguer Y Garcia 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9880.25
Oficina de Correos. Sucursal 77. Calle Eduardo Barreiros,Instalaciones accesibles NO municipales,Calle Eduardo Barreiros 3 Y 5,Bicipark Aviación,Parking Aviación Española,9880.84
Instituto de Educación Secundaria (IES) García Morato,Instalaciones accesibles NO municipales,Calle General Saliquet 34,Bicipark Montalban,"Calle de Montalbán, 5",9881.05
Colegio La Salle-La Paloma - Fundación Lara,Instalaciones accesibles NO municipales,Calle Paloma 21,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9882.52
Instituto de Educación Secundaria (IES) Celestino Mutis,Instalaciones accesibles NO municipales,Calle Huerta De Villaverde 15,Bicipark Salamanca,Pl. del Marqués de Salamanca,9884.59
Centro de Educación de Personas Adultas (CEPA) Distrito Centro,Instalaciones accesibles NO municipales,Calle San Bernardo 70 Planta 2,Bicipark Aviación,Parking Aviación Española,9888.38
Biblioteca Pública Antonio Mingote (Latina),Instalaciones accesibles NO municipales,Calle Rafael Finat 51,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",9889.55
Instituto de Educación Secundaria (IES) Pedro Salinas,Instalaciones accesibles NO municipales,Calle General Marva 24,Bicipark Recuerdo,"Calle Hiedra, 26",9892.65
Colegio Tajamar,Instalaciones accesibles NO municipales,Calle Pio Felipe 12,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9894.26
Colegio El Valle II,Instalaciones accesibles NO municipales,Calle Ana De Austria 60,Bicipark Recoletos,"Paseo de Recoletos, 2",9899.29
Sala El Águila,Instalaciones accesibles NO municipales,Calle Ramirez De Prado 3,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9904.88
Cine Cinesa Méndez Álvaro,Instalaciones accesibles NO municipales,Calle Acanto 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9910.36
Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Montalban,"Calle de Montalbán, 5",9914.91
Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Montalban,"Calle de Montalbán, 5",9914.91
Colegio Comunidad Infantil Villaverde,Instalaciones accesibles NO municipales,Calle Villastar 10,Bicipark Almagro,"Calle Almagro, 11",9915.01
Instituto de Educación Secundaria (IES) Eijo y Garay,Instalaciones accesibles NO municipales,Calle Severino Aznar Embid 6,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",9933.27
Capilla de San Isidro,Instalaciones accesibles NO municipales,Calle Aguila 1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9938.49
Colegio Diocesano Cristo de la Guía,Instalaciones accesibles NO municipales,Calle Ezcaray 3,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9944.34
Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",9945.2
Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",9945.2
Parque Deportivo Puerta de Hierro,Instalaciones accesibles NO municipales,Carretera De La Coruña  Kilómetro 7,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9945.68
Club Deportivo Somontes,Instalaciones accesibles NO municipales,Carretera El Pardo 43,Bicipark Almagro,"Calle Almagro, 11",9952.11
Instituto de Educación Secundaria (IES) Antonio Machado,Instalaciones accesibles NO municipales,Calle Alfonso Fernandez 25,Bicipark Almagro,"Calle Almagro, 11",9954.57
Biblioteca Pública Luis Rosales (Carabanchel),Instalaciones accesibles NO municipales,Calle Antonia Rodriguez Sacristan 7 Y 9,Bicipark Salamanca,Pl. del Marqués de Salamanca,9958.86
Oficina de Correos. Sucursal 05. Carrera de San Francisco,Instalaciones accesibles NO municipales,Carrera San Francisco 13,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9964.0
Administración Suroeste. AEAT,Instalaciones accesibles NO municipales,Calle Aguacate 27,Bicipark Salamanca,Pl. del Marqués de Salamanca,9974.61
Colegio Público Fontarrón,Instalaciones accesibles NO municipales,Calle Arroyo Fontarron 24,Bicipark Recuerdo,"Calle Hiedra, 26",9982.04
Parque Biológico de Madrid. Faunia,Instalaciones accesibles NO municipales,Avenida Comunidades 2,Bicipark Almagro,"Calle Almagro, 11",9984.25
Centro de Día Privado 'Trébol',Instalaciones accesibles NO municipales,Calle Palomares 71,Bicipark Salamanca,Pl. del Marqués de Salamanca,9984.41
Centro de rehabilitación y recuperación y residencia Medinaceli,Instalaciones accesibles NO municipales,Calle Ramirez Tome 38,Bicipark Recuerdo,"Calle Hiedra, 26",9987.81
Colegio Público Fernando el Católico,Instalaciones accesibles NO municipales,Calle Fernando El Catolico 16,Bicipark Aviación,Parking Aviación Española,9990.59
Colegio Público Legado Crespo,Instalaciones accesibles NO municipales,Paseo Acacias 2,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9991.49
Colegio Mayor Nuestra Señora de África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 8,Bicipark Aviación,Parking Aviación Española,9993.63
Colegio Público Virgen del Cerro,Instalaciones accesibles NO municipales,Calle Mohernando 1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,9999.3
Museo del Ferrocarril de Madrid,Instalaciones accesibles NO municipales,Paseo Delicias 61,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10000.79
Oficina de Correos. Sucursal 82. Avenida Santuario de Valverde,Instalaciones accesibles NO municipales,Avenida Santuario De Valverde 45,Bicipark Montalban,"Calle de Montalbán, 5",10005.56
Oficina de Empleo Villaverde,Instalaciones accesibles NO municipales,Calle Salsipuedes 7,Bicipark Salamanca,Pl. del Marqués de Salamanca,10006.33
WiZink Center,Instalaciones accesibles NO municipales,Calle Jorge Juan 99,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10007.5
Instituto de Educación Secundaria (IES) Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Indalecio Prieto 1,Bicipark Recuerdo,"Calle Hiedra, 26",10010.53
Biblioteca Pública Pedro Salinas (Centro),Instalaciones accesibles NO municipales,Glorieta Puerta De Toledo 1,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10010.65
Oficina de Correos. Sucursal 07. Calle Palos de la Frontera,Instalaciones accesibles NO municipales,Calle Palos De La Frontera 6 Y 10,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10011.96
Museo de la Real Academia de Bellas Artes de San Fernando,Instalaciones accesibles NO municipales,Calle Alcala 13,Bicipark Aviación,Parking Aviación Española,10014.54
Real Basílica San Francisco el Grande,Instalaciones accesibles NO municipales,Calle San Buenaventura 1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10023.33
Instituto de Educación Secundaria (IES) Francisco Ayala,Instalaciones accesibles NO municipales,Calle Jacobeo 33,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",10035.25
Colegio Diocesano Cristo de la Guía,Instalaciones accesibles NO municipales,Calle Ezcaray 3,Bicipark Recuerdo,"Calle Hiedra, 26",10037.78
Espacio Fundación Telefónica,Instalaciones accesibles NO municipales,Calle Fuencarral 3,Bicipark Aviación,Parking Aviación Española,10039.41
Oficina de Correos. Sucursal 72. Calle Santiago Alio,Instalaciones accesibles NO municipales,Calle Santiago Alio 10 A,Bicipark Recuerdo,"Calle Hiedra, 26",10043.2
Instituto de Educación Secundaria (IES) Joaquín Rodrigo,Instalaciones accesibles NO municipales,Calle Casalarreina 28,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10043.38
Colegio Ártica,Instalaciones accesibles NO municipales,Calle Morales 25,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",10046.26
Instituto de Educación Secundaria (IES) María Rodrigo,Instalaciones accesibles NO municipales,"Calle Talamanca Del Jarama, Esquina Granja De San Ildefonso",Bicipark Recoletos,"Paseo de Recoletos, 2",10046.95
Oficina de Empleo Moratalaz,Instalaciones accesibles NO municipales,Calle Hacienda De Pavones 350,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10047.59
Instituto de Educación Secundaria (IES) García Morato,Instalaciones accesibles NO municipales,Calle General Saliquet 34,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",10048.09
Colegio Santa María la Blanca,Instalaciones accesibles NO municipales,Calle Monasterio De Oseira 17,Bicipark Recoletos,"Paseo de Recoletos, 2",10053.13
Colegio El Valle II,Instalaciones accesibles NO municipales,Calle Ana De Austria 60,Bicipark Montalban,"Calle de Montalbán, 5",10053.8
Colegio Público de Educación Especial María Soriano,Instalaciones accesibles NO municipales,Avenida Peseta 30,Bicipark Montalban,"Calle de Montalbán, 5",10057.93
Centro de Día Privado 'Florencia',Instalaciones accesibles NO municipales,Calle Florencia 24,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10057.94
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 4 Vallecas,Instalaciones accesibles NO municipales,Calle Picos De Europa 49,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10060.92
Museo Postal y Telegráfico,Instalaciones accesibles NO municipales,Calle Tapia De Casariego 6,Bicipark Recoletos,"Paseo de Recoletos, 2",10063.28
Museo Postal y Telegráfico,Instalaciones accesibles NO municipales,Calle Tapia De Casariego 6,Bicipark Recuerdo,"Calle Hiedra, 26",10070.92
ASPAYM Madrid (Asociación de Parapléjicos y Personas con Gran Discapacidad Física de la Comunidad de Madrid),Instalaciones accesibles NO municipales,Camino Valderribas 115,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10071.83
Oficina de Correos. Sucursal 49. Calle Condesa Vega del Pozo,Instalaciones accesibles NO municipales,Calle Condesa Vega Del Pozo 29 Y 31,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",10078.42
Colegio Público de Educación Especial María Soriano,Instalaciones accesibles NO municipales,Avenida Peseta 30,Bicipark Recoletos,"Paseo de Recoletos, 2",10083.7
Centro de día Funprodami,Instalaciones accesibles NO municipales,Calle Garcia Miranda 4,Bicipark Recuerdo,"Calle Hiedra, 26",10085.98
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10088.89
Centro de Día Privado 'Muguet',Instalaciones accesibles NO municipales,Calle Muguet 7,Bicipark Salamanca,Pl. del Marqués de Salamanca,10095.29
Instituto de Educación Secundaria (IES) Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Indalecio Prieto 1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10103.25
Instituto de Educación Secundaria (IES) Joaquín Rodrigo,Instalaciones accesibles NO municipales,Calle Casalarreina 28,Bicipark Recuerdo,"Calle Hiedra, 26",10107.82
Colegio Mayor Fundación SEPI,Instalaciones accesibles NO municipales,Avenida Gregorio Del Amo 2,Bicipark Aviación,Parking Aviación Española,10109.93
Colegio La Salle-La Paloma - Fundación Lara,Instalaciones accesibles NO municipales,Calle Paloma 21,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10111.14
Oficina de Correos. Sucursal 46. Calle Guzmán el Bueno,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 86,Bicipark Aviación,Parking Aviación Española,10111.24
Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Carretera El Pardo 41,Bicipark Recoletos,"Paseo de Recoletos, 2",10114.83
Colegio Público Méjico (México),Instalaciones accesibles NO municipales,Avenida Badajoz 74,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10120.91
Colegio Mayor Alcor,Instalaciones accesibles NO municipales,Calle General Ampudia 7,Bicipark Aviación,Parking Aviación Española,10126.17
Colegio Diocesano Cristo de la Guía,Instalaciones accesibles NO municipales,Calle Ezcaray 3,Bicipark Orense,"Avenida General Perón, 27",10129.9
Colegio Público Parque Aluche,Instalaciones accesibles NO municipales,Calle Quero 47,Bicipark Salamanca,Pl. del Marqués de Salamanca,10131.12
Intercambiador de transporte. Méndez Álvaro - Estación Sur,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10131.36
Biblioteca del Instituto Nacional de la Administración Pública (INAP),Instalaciones accesibles NO municipales,Calle Atocha 106,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10133.27
Oficina de Correos. Sucursal 49. Calle Condesa Vega del Pozo,Instalaciones accesibles NO municipales,Calle Condesa Vega Del Pozo 29 Y 31,Bicipark Almagro,"Calle Almagro, 11",10134.69
Sede QuedaT.com Vicálvaro,Instalaciones accesibles NO municipales,Plaza Juan Benet 9,Bicipark Recuerdo,"Calle Hiedra, 26",10135.67
Oficina de Empleo Barrio de la Concepción,Instalaciones accesibles NO municipales,Calle Virgen Del Puig 5,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10136.71
Centro ocupacional y residencia Fundación ALAS Madrid,Instalaciones accesibles NO municipales,Calle Encomienda De Palacios 235,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10147.81
Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Carretera El Pardo 41,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10150.84
Oficina de Correos. Sucursal 33. Calle Caroli,Instalaciones accesibles NO municipales,Calle Caroli 10,Bicipark Orense,"Avenida General Perón, 27",10156.52
Estación Sur de Autobuses de Madrid,Instalaciones accesibles NO municipales,Calle Mendez Alvaro 83,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10159.42
Instituto de Educación Secundaria (IES) Joaquín Rodrigo,Instalaciones accesibles NO municipales,Calle Casalarreina 28,Bicipark Orense,"Avenida General Perón, 27",10160.14
Biblioteca Pública Pedro Salinas (Centro),Instalaciones accesibles NO municipales,Glorieta Puerta De Toledo 1,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10160.69
Centro de atención e información de la Agencia de la Seguridad Social (CAISS) nº 15 Delicias - Usera,Instalaciones accesibles NO municipales,Calle Amor Hermoso 52 Y 54,Bicipark Recuerdo,"Calle Hiedra, 26",10160.93
Instituto de Educación Secundaria (IES) Juana de Castilla,Instalaciones accesibles NO municipales,Calle Valdebernardo 3,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10166.82
Oficina de Correos. Sucursal 62. Calle La Rioja. Alameda de Osuna,Instalaciones accesibles NO municipales,Calle La Rioja 11,Bicipark Recuerdo,"Calle Hiedra, 26",10167.23
Palacio de Velázquez,Instalaciones accesibles NO municipales,Paseo Venezuela 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10176.8
